Country,iso3,cov,agevac,vac_price,vac_delivery,vac_delivery2,cecx_cost,dw_dx,dw_seq,dw_term,hpv1618_prop,disc.cost ,disc.ben
Senegal,SEN,100,10,2.9,5.257072661,5.38891541,560.9853027,0.288,0.049,0.54,70.3,3,3
Sierra Leone,SLE,100,10,2.9,5.257072661,5.38891541,910.5636292,0.288,0.049,0.54,70.3,3,3
Solomon Islands,SLB,100,10,2.9,5.257072661,5.38891541,777.4237539,0.288,0.049,0.54,78.2,3,3
Somalia,SOM,100,10,2.9,5.257072661,5.38891541,603.069396,0.288,0.049,0.54,70.3,3,3
Sri Lanka,LKA,100,10,2.9,5.257072661,5.38891541,741.8345604,0.288,0.049,0.54,71.6,3,3
Sudan,SDN,100,10,2.9,5.257072661,5.38891541,2238.345967,0.288,0.049,0.54,70.3,3,3
South Sudan,SSD,100,10,2.9,5.257072661,5.38891541,3077.183272,0.288,0.049,0.54,70.3,3,3
Tajikistan,TJK,100,10,2.9,5.257072661,5.38891541,795.6478591,0.288,0.049,0.54,77.5,3,3
United Republic of Tanzania,TZA,100,10,2.9,5.257072661,5.38891541,842.1857656,0.288,0.049,0.54,70.3,3,3
Timor-Leste,TLS,100,10,2.9,5.257072661,5.38891541,362.3987292,0.288,0.049,0.54,71.6,3,3
Togo,TGO,100,10,2.9,5.257072661,5.38891541,588.0404641,0.288,0.049,0.54,70.3,3,3
Uganda,UGA,100,10,2.9,5.257072661,5.38891541,834.3660272,0.288,0.049,0.54,70.3,3,3
Ukraine,UKR,100,10,2.9,5.257072661,5.38891541,1924.016812,0.288,0.049,0.54,72.8,3,3
Uzbekistan,UZB,100,10,2.9,5.257072661,5.38891541,1228.382087,0.288,0.049,0.54,77.5,3,3
Viet Nam,VNM,100,10,2.9,5.257072661,5.38891541,822.595502,0.288,0.049,0.54,71.6,3,3
Yemen,YEM,100,10,2.9,5.257072661,5.38891541,1189.160756,0.288,0.049,0.54,77.5,3,3
Zambia,ZMB,100,10,2.9,5.257072661,5.38891541,912.0015149,0.288,0.049,0.54,70.3,3,3
Zimbabwe,ZWE,100,10,2.9,5.257072661,5.38891541,659.5058742,0.288,0.049,0.54,70.3,3,3
Albania,ALB,100,10,13.5,5.257072661,5.38891541,614.0392501,0.288,0.049,0.54,72.8,3,3
Algeria,DZA,100,10,2.9,5.257072661,5.38891541,571.430835,0.288,0.049,0.54,70.3,3,3
Argentina,ARG,100,10,13.5,5.257072661,5.38891541,3511.510564,0.288,0.049,0.54,69.4,3,3
Belarus,BLR,100,10,13.5,5.257072661,5.38891541,2539.813274,0.288,0.049,0.54,72.8,3,3
Belize,BLZ,100,10,2.9,5.257072661,5.38891541,829.1315607,0.288,0.049,0.54,64.4,3,3
Bosnia and Herzegovina,BIH,100,10,13.5,5.257072661,5.38891541,623.6585568,0.288,0.049,0.54,72.8,3,3
Botswana,BWA,100,10,4.5,5.257072661,5.38891541,744.7395877,0.288,0.049,0.54,70.3,3,3
Brazil,BRA,100,10,13.5,5.257072661,5.38891541,1118.785408,0.288,0.049,0.54,69.4,3,3
Bulgaria,BGR,100,10,4.5,5.257072661,5.38891541,643.818611,0.288,0.049,0.54,72.8,3,3
Cabo Verde,CPV,100,10,2.9,5.257072661,5.38891541,559.5502207,0.288,0.049,0.54,70.3,3,3
Chile,CHL,100,10,30.81,5.257072661,5.38891541,933.7377499,0.288,0.049,0.54,69.4,3,3
China,CHN,100,10,13.5,5.257072661,5.38891541,722.7096138,0.288,0.049,0.54,68.9,3,3
Colombia,COL,100,10,13.5,5.257072661,5.38891541,917.5252387,0.288,0.049,0.54,69.4,3,3
Costa Rica,CRI,100,10,4.5,5.257072661,5.38891541,921.2396704,0.288,0.049,0.54,64.4,3,3
Dominica,DMA,100,10,2.9,5.257072661,5.38891541,793.8965923,0.288,0.049,0.54,68.2,3,3
Dominican Republic,DOM,100,10,13.5,5.257072661,5.38891541,878.0303913,0.288,0.049,0.54,68.2,3,3
Ecuador,ECU,100,10,13.5,5.257072661,5.38891541,617.1165449,0.288,0.049,0.54,69.4,3,3
Egypt,EGY,100,10,2.9,5.257072661,5.38891541,1251.243255,0.288,0.049,0.54,70.3,3,3
El Salvador,SLV,100,10,2.9,5.257072661,5.38891541,787.7480885,0.288,0.049,0.54,64.4,3,3
Fiji,FJI,100,10,2.9,5.257072661,5.38891541,827.8944153,0.288,0.049,0.54,78.2,3,3
Gabon,GAB,100,10,4.5,5.257072661,5.38891541,443.5438774,0.288,0.049,0.54,70.3,3,3
Grenada,GRD,100,10,2.9,5.257072661,5.38891541,853.527508,0.288,0.049,0.54,68.2,3,3
Guatemala,GTM,100,10,13.5,5.257072661,5.38891541,666.715664,0.288,0.049,0.54,64.4,3,3
Iran (Islamic Republic of),IRN,100,10,13.5,5.257072661,5.38891541,1731.483396,0.288,0.049,0.54,71.6,3,3
Iraq,IRQ,100,10,4.5,5.257072661,5.38891541,450.6478778,0.288,0.049,0.54,77.5,3,3
Jamaica,JAM,100,10,4.5,5.257072661,5.38891541,1093.657314,0.288,0.049,0.54,68.2,3,3
Jordan,JOR,100,10,2.9,5.257072661,5.38891541,972.4215097,0.288,0.049,0.54,77.5,3,3
Kazakhstan,KAZ,100,10,13.5,5.257072661,5.38891541,1134.771,0.288,0.049,0.54,77.5,3,3
Latvia,LVA,100,10,30.81,5.257072661,5.38891541,830.0347893,0.288,0.049,0.54,72.8,3,3
Lebanon,LBN,100,10,2.9,5.257072661,5.38891541,973.3168589,0.288,0.049,0.54,77.5,3,3
Libya,LBY,100,10,4.5,5.257072661,5.38891541,613.1379282,0.288,0.049,0.54,70.3,3,3
Lithuania,LTU,100,10,30.81,5.257072661,5.38891541,829.6582545,0.288,0.049,0.54,72.8,3,3
North Macedonia,MKD,100,10,4.5,5.257072661,5.38891541,687.2058116,0.288,0.049,0.54,72.8,3,3
Malaysia,MYS,100,10,13.5,5.257072661,5.38891541,710.7432156,0.288,0.049,0.54,71.6,3,3
Maldives,MDV,100,10,2.9,5.257072661,5.38891541,654.938099,0.288,0.049,0.54,71.6,3,3
Marshall Islands,MHL,100,10,4.5,5.257072661,5.38891541,689.5592302,0.288,0.049,0.54,78.2,3,3
Mauritius,MUS,100,10,4.5,5.257072661,5.38891541,601.188113,0.288,0.049,0.54,70.3,3,3
Mexico,MEX,100,10,13.5,5.257072661,5.38891541,942.3915547,0.288,0.049,0.54,64.4,3,3
Micronesia (Federated States of),FSM,100,10,2.9,5.257072661,5.38891541,700.5981242,0.288,0.049,0.54,78.2,3,3
Montenegro,MNE,100,10,4.5,5.257072661,5.38891541,678.1169955,0.288,0.049,0.54,72.8,3,3
Morocco,MAR,100,10,13.5,5.257072661,5.38891541,642.768119,0.288,0.049,0.54,70.3,3,3
Namibia,NAM,100,10,4.5,5.257072661,5.38891541,865.9583156,0.288,0.049,0.54,70.3,3,3
Panama,PAN,100,10,30.81,5.257072661,5.38891541,925.6726936,0.288,0.049,0.54,64.4,3,3
Paraguay,PRY,100,10,13.5,5.257072661,5.38891541,906.8694439,0.288,0.049,0.54,69.4,3,3
Peru,PER,100,10,13.5,5.257072661,5.38891541,628.8944101,0.288,0.049,0.54,69.4,3,3
Philippines,PHL,100,10,13.5,5.257072661,5.38891541,721.8716169,0.288,0.049,0.54,71.6,3,3
Romania,ROU,100,10,30.81,5.257072661,5.38891541,707.7663043,0.288,0.049,0.54,72.8,3,3
Russian Federation,RUS,100,10,30.81,5.257072661,5.38891541,1085.220916,0.288,0.049,0.54,72.8,3,3
Saint Lucia,LCA,100,10,2.9,5.257072661,5.38891541,831.5942617,0.288,0.049,0.54,68.2,3,3
Saint Vincent and the Grenadines,VCT,100,10,2.9,5.257072661,5.38891541,792.2455772,0.288,0.049,0.54,68.2,3,3
Samoa,WSM,100,10,2.9,5.257072661,5.38891541,704.5214128,0.288,0.049,0.54,78.2,3,3
Serbia,SRB,100,10,4.5,5.257072661,5.38891541,732.7275565,0.288,0.049,0.54,72.8,3,3
South Africa,ZAF,100,10,13.5,5.257072661,5.38891541,771.2255252,0.288,0.049,0.54,70.3,3,3
Suriname,SUR,100,10,4.5,5.257072661,5.38891541,1201.822405,0.288,0.049,0.54,69.4,3,3
Eswatini,SWZ,100,10,13.5,5.257072661,5.38891541,777.3228285,0.288,0.049,0.54,70.3,3,3
Syrian Arab Republic,SYR,100,10,2.9,5.257072661,5.38891541,811.1998008,0.288,0.049,0.54,77.5,3,3
Thailand,THA,100,10,13.5,5.257072661,5.38891541,600.0102549,0.288,0.049,0.54,71.6,3,3
Tonga,TON,100,10,2.9,5.257072661,5.38891541,719.1313155,0.288,0.049,0.54,78.2,3,3
Tunisia,TUN,100,10,2.9,5.257072661,5.38891541,1058.370932,0.288,0.049,0.54,70.3,3,3
Turkey,TUR,100,10,13.5,5.257072661,5.38891541,931.7465366,0.288,0.049,0.54,77.5,3,3
Turkmenistan,TKM,100,10,13.5,5.257072661,5.38891541,576.0441039,0.288,0.049,0.54,77.5,3,3
Tuvalu,TUV,100,10,2.9,5.257072661,5.38891541,753.3981688,0.288,0.049,0.54,78.2,3,3
Uruguay,URY,100,10,30.81,5.257072661,5.38891541,1161.477094,0.288,0.049,0.54,69.4,3,3
Vanuatu,VUT,100,10,2.9,5.257072661,5.38891541,734.1313712,0.288,0.049,0.54,78.2,3,3
Venezuela (Bolivarian Republic of),VEN,100,10,2.9,5.257072661,5.38891541,1612.730196,0.288,0.049,0.54,69.4,3,3
Australia,AUS,100,10,30.81,5.257072661,5.38891541,1557.026097,0.288,0.049,0.54,78.2,3,3
Austria,AUT,100,10,30.81,5.257072661,5.38891541,1473.44746,0.288,0.049,0.54,72.8,3,3
Bahamas,BHS,100,10,30.81,5.257072661,5.38891541,868.6907383,0.288,0.049,0.54,68.2,3,3
Bahrain,BHR,100,10,30.81,5.257072661,5.38891541,792.3061785,0.288,0.049,0.54,77.5,3,3
Barbados,BRB,100,10,30.81,5.257072661,5.38891541,714.4379331,0.288,0.049,0.54,68.2,3,3
Belgium,BEL,100,10,30.81,5.257072661,5.38891541,1437.823833,0.288,0.049,0.54,72.8,3,3
Brunei Darussalam,BRN,100,10,30.81,5.257072661,5.38891541,1116.670848,0.288,0.049,0.54,71.6,3,3
Canada,CAN,100,10,30.81,5.257072661,5.38891541,1939.211351,0.288,0.049,0.54,78.8,3,3
Croatia,HRV,100,10,30.81,5.257072661,5.38891541,1371.206767,0.288,0.049,0.54,72.8,3,3
Cyprus,CYP,100,10,30.81,5.257072661,5.38891541,800.0228333,0.288,0.049,0.54,77.5,3,3
Czechia,CZE,100,10,30.81,5.257072661,5.38891541,1452.703412,0.288,0.049,0.54,72.8,3,3
Denmark,DNK,100,10,30.81,5.257072661,5.38891541,1418.826657,0.288,0.049,0.54,72.8,3,3
Equatorial Guinea,GNQ,100,10,4.5,5.257072661,5.38891541,464.4300536,0.288,0.049,0.54,70.3,3,3
Estonia,EST,100,10,30.81,5.257072661,5.38891541,871.506218,0.288,0.049,0.54,72.8,3,3
Finland,FIN,100,10,30.81,5.257072661,5.38891541,1462.509906,0.288,0.049,0.54,72.8,3,3
France,FRA,100,10,30.81,5.257072661,5.38891541,1386.294754,0.288,0.049,0.54,72.8,3,3
Germany,DEU,100,10,30.81,5.257072661,5.38891541,1465.598477,0.288,0.049,0.54,72.8,3,3
Greece,GRC,100,10,30.81,5.257072661,5.38891541,1265.906317,0.288,0.049,0.54,72.8,3,3
Hungary,HUN,100,10,30.81,5.257072661,5.38891541,873.5242565,0.288,0.049,0.54,72.8,3,3
Iceland,ISL,100,10,30.81,5.257072661,5.38891541,1570.607952,0.288,0.049,0.54,72.8,3,3
Ireland,IRL,100,10,30.81,5.257072661,5.38891541,1464.14454,0.288,0.049,0.54,72.8,3,3
Israel,ISR,100,10,30.81,5.257072661,5.38891541,1476.045945,0.288,0.049,0.54,77.5,3,3
Italy,ITA,100,10,30.81,5.257072661,5.38891541,1408.457192,0.288,0.049,0.54,72.8,3,3
Japan,JPN,100,10,30.81,5.257072661,5.38891541,1514.328954,0.288,0.049,0.54,68.9,3,3
Republic of Korea,KOR,100,10,30.81,5.257072661,5.38891541,711.6794861,0.288,0.049,0.54,68.9,3,3
Kuwait,KWT,100,10,30.81,5.257072661,5.38891541,633.956956,0.288,0.049,0.54,77.5,3,3
Luxembourg,LUX,100,10,30.81,5.257072661,5.38891541,1458.580482,0.288,0.049,0.54,72.8,3,3
